14:57:06.778 [main] DEBUG o.j.logging - Logging Provider: org.jboss.logging.Slf4jLoggerProvider
14:57:06.868 [main] DEBUG o.h.j.HibernatePersistenceProvider - Located and parsed 1 persistence units; checking each
14:57:06.868 [main] DEBUG o.h.j.HibernatePersistenceProvider - Checking persistence-unit [name=persistence-test, explicit-provider=org.hibernate.ejb.HibernatePersistence] against incoming persistence unit name [persistence-test]
14:57:06.869 [main] DEBUG o.h.j.b.s.ProviderChecker - Persistence-unit [persistence-test] requested PersistenceProvider [org.hibernate.ejb.HibernatePersistence]
14:57:06.870 [main] WARN  o.h.j.b.s.ProviderChecker - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; [org.hibernate.jpa.HibernatePersistenceProvider] will be used instead.
14:57:06.879 [main] DEBUG o.h.j.i.u.LogHelper - PersistenceUnitInfo [
	name: persistence-test
	persistence provider classname: org.hibernate.ejb.HibernatePersistence
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/Users/nazar/OneDrive/%d0%94%d0%be%d0%ba%d1%83%d0%bc%d0%b5%d0%bd%d1%82%d1%8b/Java%20Projects/Hibernate/target/classes
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names []
	Mapping files names []
	Properties [
		hibernate.connection.username: postgres
		hibernate.connection.password: Nazar19971
		hibernate.connection.pool_size: 1
		hibernate.dialect: org.hibernate.dialect.PostgreSQL9Dialect
		hibernate.connection.url: jdbc:postgresql://localhost:5432/postgres
		hibernate.show_sql: true
		hibernate.connection.driver_class: org.postgresql.Driver
		hibernate.current_session_context_class: thread]
14:57:06.884 [main] DEBUG o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
14:57:06.886 [main] DEBUG o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
14:57:06.890 [main] DEBUG o.h.i.i.IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
14:57:07.003 [main] INFO  o.h.Version - HHH000412: Hibernate Core {5.4.10.Final}
14:57:07.004 [main] DEBUG o.h.c.Environment - HHH000206: hibernate.properties not found
14:57:07.130 [main] DEBUG o.h.s.s.ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
14:57:07.143 [main] DEBUG o.h.c.i.RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
14:57:07.144 [main] DEBUG o.h.c.i.RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
14:57:07.164 [main] INFO  o.h.a.c.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
14:57:07.318 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7eac9008
14:57:07.318 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7eac9008
14:57:07.319 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7eac9008
14:57:07.319 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6ed3ccb2
14:57:07.320 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@489115ef
14:57:07.320 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7c6908d7
14:57:07.321 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4b2bac3f
14:57:07.322 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4b2bac3f
14:57:07.322 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4b2bac3f
14:57:07.323 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3d285d7e
14:57:07.323 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@3d285d7e
14:57:07.323 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3d285d7e
14:57:07.324 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@ba2f4ec
14:57:07.324 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@ba2f4ec
14:57:07.324 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@ba2f4ec
14:57:07.327 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5dda768f
14:57:07.328 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5dda768f
14:57:07.328 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5dda768f
14:57:07.329 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3a52dba3
14:57:07.329 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@3a52dba3
14:57:07.329 [main] DEBUG o.h.t.BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@3a52dba3
